No,Nama Perusahaan,Merek Perusahaan,Nomor Anggota,Nama Pimpinan,Perijinan,Kota,Provinsi,DPD
"218","PT RAMANDA TOUR & TRAVEL","Mm Tour","395/AMPHURI/2018","Hj. Winda Suprapti","PPIU","","Kepulauan Riau","Kepulauan Riau, Riau"
"219","PT IKHWANUL IKHLAS WISATA","Ikhwanul Ikhlas","399/AMPHURI/2018","H. Ivandi Darma Putra, Se","PPIU","","Sumatera Utara","Sumatera Utara"
"220","PT MABRUR SEMESTA ALAM","-","400/AMPHURI/2018","Hj. Anggraeni Rahma Hidayati","PPIU","","Jawa Tengah","Jawa Tengah"
"221","PT SAYAN MASYKURO","-","402/AMPHURI/2018","H. Rachmad Soemantri","PPIU","","Jawa Timur","Jawa Timur"
"222","PT MADANI PRABU JAYA","Madani Tour","403/AMPHURI/2018","H. Hud Rifki Assegaf","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"223","PT AL BURUJ","Al Buruj","405/AMPHURI/2018","H. Andi Muh Arwadi, M.A","PPIU","","Sulawesi Selatan","Sulampua"
"224","PT AMEERA MEKKAH TRAVEL","Ameera Mekkah","406/AMPHURI/2018","Hj. Neny Amalina","PIHK","","Sumatera Utara","Sumatera Utara"
"225","PT MUTIARA AMANAH","Mutamtour","408/AMPHURI/2018","H. Yasak Taufan, St","PIHK","","Jawa Timur","Jawa Timur"
"226","PT RITAS RAUDAH","Ritas Raudah","409/AMPHURI/2018","Hj. Rita Suhaimi","PIHK","","Kalimantan Timur","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"227","PT RABBANI SEMESTA UTAMA","-","410/AMPHURI/2018","Hj. Masrura Ram Idjal, Mba","PIHK","","Jawa Barat","Jawa Barat"
"228","PT ALKHATTAB MUBAROK INTERNASIONAL","Al Khattab Tourism","411/AMPHURI/2018","H. Suryadin","PIHK","","Sulawesi Selatan","Sulampua"
"229","PT ANGKASA GLOBAL ALAZADIK","-","412/AMPHURI/2018","H. Alex Gunarto","PPIU","","Jawa Tengah","Jawa Tengah"
"230","PT MANDALA TOURS DAN TRAVEL","Mandala Travel","414/AMPHURI/2018","H. Marzuki Azis","PIHK","","Sulawesi Selatan","Sulampua"
"231","PT QISWAH INDAH TRAVELINDO","-","415/AMPHURI/2018","Dr. H. Ulul Albab,Ms","PPIU","","Jawa Timur","Jawa Timur"
"232","PT SARANA WISATA PERDANA","Agra Tour & Travel","416/AMPHURI/2018","Hj. Deny Hendrawati","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"233","PT TERANG JAYA UTAMA","-","418/AMPHURI/2018","Hj. Suciaty","PIHK","","Sulawesi Selatan","Sulampua"
"234","PT TOMBO ATI MASYHUR","-","419/AMPHURI/2018","H. Aniek Budiartini","PIHK","","Jawa Timur","Jawa Timur"
"235","PT CENTRAL GLOBAL NETWORK","Central Tour & Travel","420/AMPHURI/2018","Hj. Nikmah","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"236","PT KHAZZANAH AL-ANSHARY","Khazzanah Tours & Travel","421/AMPHURI.2018","H. Ahmad Zaky Zakaria Anshary, Lc. Ma","PIHK","","Jawa Barat","Jawa Barat"
"237","PT AJIIB WISATA BAROKAH","Ajiib Wisata","422/AMPHURI/2018","Hj. Rusifah Sagita","PPIU","","Jawa Barat","Jawa Barat"
"238","PT MOISANI MANGGALA WISATA","M2 Wisata","423/AMPHURI/2018","H. Bambang Susilo","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"239","PT PRIAVENTURE TOUR & TRAVEL","Priaventure Tour & Travel","424/AMPHURI/2018","H. Anshar H Aziz","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"240","PT BAGUS SEMESTA","-","425/AMPHURI/2018","H. Alamudin Dimyati Rois","PIHK","","Jawa Tengah","Jawa Tengah"
"241","PT SATWIKA MITRA GLOBAL","Wika Tours & Travel","428/AMPHURI/2018","Dra. Hj. Ida Nurhaida","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"242","PT MULYA ALAM SEMESTA","Mulya Tours","429/AMPHURI/2018","H. Tedi Adri Muttaqi","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"243","PT AILA RAEEZ UTAMA","Aila Raeez Travel","430/AMPHURI/2018","H. Fachruddin","PPIU","","Banten","Banten"
"244","PT SAGHARA MAHABBATAIN WISATA","Samawi Travel","432/AMPHURI/2018","H. Nurhidayat","PPIU","","Banten","Banten"
"245","PT ASTRIFA INSAN MADANI","-","433/AMPHURI/2018","Hj. Jubaidah","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"246","PT LARAIBA MADANIA WISATA","Laraiba Tour","434/AMPHURI/2018","H. Adam Basyori","PIHK","","DIY. Yogyakarta","Daerah Istimewa Yogyakarta"
"247","PT SATRIA BAROKAH WISATA","Ghinasepti Travel","435/AMPHURI/2018","Hj. Tuti Sukmansari","PIHK","","Jawa Barat","Jawa Barat"
"248","PT TRITAMA TOUR TRAVEL","-","437/AMPHURI/2018","H. Achmad Syarif Shahab","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"249","PT ASTRI DUTA MANDIRI","Ashma Wisata","438/AMPHURI/2018","H. Kusnadi Najeh Umar","PPIU","","Jawa Barat","Jawa Barat"
"250","PT STARINDO MITRADASA CIPTA","Babul Ka`Bah","440/AMPHURI/2018","Hj. Rini Indriani","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
